Y,CBFC,CKFL,Pulpa TMP,Recorte Duplex + Area 070,SGW,SOREPA + CEL B,DKL,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK
3,0,0.152972185781169,0.224547763187984,0.420041643096995,0.168979503412086,0.00096284617328824,0.0324960583484781,0.00396,0.01968,0.00048,0.00025,0,0,0
3,0,0.175277299958479,0.210807283943294,0.425588706328964,0.138798267987425,0.00949047986238804,0.0400379619194495,0.0036,0.01949,0.00048,0.00025,0,0,0
1,0,0.156711902498055,0.231351024289048,0.430568761344974,0.140029388884087,0.000821159996542484,0.0405177629872936,0.00324,0.02313,0.00048,0.00025,0,0,0
2,0,0.232167921398494,0.227765726681128,0.252009697588363,0.229679724384331,0.000956998851601378,0.0574199310960827,0.00357,0.02224,0.00051,0,0.00017,0.00048,0
8,0,0.26948294329579,0.244165665876854,0.229088902593398,0.19280080495959,0.00116848972702782,0.0632931935473401,0.00358,0.02123,0.00055,0,0.00018,0.0005,0
4,0,0.227491757545016,0.361082931777834,0,0.205427339589145,0.00310677149378646,0.202891199594218,0.00386,0.01187,0.00056,0,0.00011,0.0005,0
4,0,0.241536407195036,0.236011834629382,0.144005446024141,0.282774330374676,0.00141387165187338,0.094258110124892,0.00414,0.0165,0.00056,0,0.00014,0.00072,0
4,0,0.210609401623735,0.296807657612509,0.171644783000902,0.234539440713641,0.00120276636263406,0.0851959506865791,0.00414,0.0165,0.00056,0,0.00014,0.00072,0
9,0,0.286861098836353,0.406589090194923,0.0994255413168361,0.203269995581087,0.0038542740708008,0,0.00364,0.01405,0.00043,0,0,0.00049,0
4,0,0.281748213304013,0.387453423737096,0.135147516950706,0.192413413963716,0.00323743204446888,0,0.00392,0.01594,0.00043,0,0,0.00049,0
4,0.0281710259014728,0.185452640934484,0.232478415439309,0.27774250888776,0.199974606399187,0,0.0761808024377857,0.00516,0.02024,0.00048,0,0,0.00083,0
3,0.0180855611456381,0.13481963763112,0.283811778632732,0.35677879714577,0.153891683930157,0,0.0526125415145835,0.00516,0.02024,0.00048,0,0,0.00083,0
5,0.049100907821229,0.174493715083799,0.38970844972067,0.213861731843575,0.172835195530726,0,0,0.00398,0.01566,0.00029,0,0,0.00103,0
6,0.0660123632369714,0.240308658490221,0.30503963839644,0.185870988636524,0.202768351239844,0,0,0.00352,0.01318,0.00026,0,0,0.00091,0
6,0.0556443617085854,0.31939863620728,0.419315675522551,0,0.203961878553651,0.00167944800793185,0,0.00408,0.01801,0.00041,0,0,0,0.00087
6,0.0480670647126229,0.27585790965563,0.462095169169531,0,0.211688076714312,0.00229177974790423,0,0.00425,0.01946,0.00042,0,0,0,0.0009
5,0.0393770886977483,0.203569276283351,0.304717032816523,0.195858215087931,0.162712978688435,0.0468827042130061,0.0468827042130061,0.00317,0.01961,0.00038,0,0,0,0.0012
6,0.044825158413518,0.223851990925448,0,0.225559988526428,0.168974419150434,0,0.336801481133798,0.00317,0.02535,0.00038,0,0,0,0.0012
6,0.188262338614587,0.158437620760382,0.307491850222447,0.072332372204552,0.178353794476977,0.0475610118605273,0.0475610118605273,0.00477,0.01227,0.00048,0,0,0,0.00087
6,0.0747695148433741,0.244580835598091,0.234633239275451,0.0468122179888951,0.234061089944475,0,0.165143102349713,0.00509,0.01256,0.00048,0,0,0,0.00087
7,0.069312125150536,0.19493960675832,0.386159037523698,0.0906196716229268,0.201748005771042,0,0.0572334768144801,0.00509,0.01256,0.00048,0,0,0,0.00087
7,0.0762411989903748,0.196828617320628,0.403282489764864,0.0507227998985544,0.144922285424441,0.0603842855935172,0.0603842855935172,0.00509,0.01256,0.00048,0,0,0,0.00087
