Gramaje,Esp.,Hum. Prom.,R/L Prom.,R/T Prom.,Blancura Lado Barrera,Blancura Lado sin Barrera,Cobb Lado Barrera Base 2,Cobb Lado sin Barrera 2,Dennison Lado sin Barrera,Tersura Sheffield Lado Barrera,Tersura Sheffield Lado sin Barrera,CBFC,CKFL,Pulpa TMP,Recorte Duplex + Area 070,SGW,SOREPA + CEL B,DKL,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK
251,415,8.8,16.3,5.9,31.39,30,0.69,0.33,16,112,279,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
251.6,416,8.9,16.3,6.1,31.67,29.6,0.69,0.31,16,117,290,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
254.4,416,9,16.2,5.8,31.55,29.64,0.69,0.23,16,119,285,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
255.4,420,8.7,16.3,5.8,31.56,29.78,0.69,0.16,16,121,276,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
255.2,416,8.8,16.3,5.9,31.35,29.35,0.69,0.15,16,119,281,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.9,419,8.8,16.2,6,31.59,29.49,0.69,0.33,16,115,264,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
254.3,419,8.8,16.2,6,31.37,29.45,0.69,0.33,16,114,269,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.8,415,8.6,16.3,6.1,31.6,29.32,0.69,0.35,16,104,276,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.8,419,8.8,16.7,6.8,31.12,28.86,0.69,0.33,16,130,309,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
254.3,412,8.7,16.3,6.8,31.43,28.68,0.69,0.35,16,114,312,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
251.4,413,8.9,16.6,6.6,31.61,30.23,0.69,0.42,16,132,310,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
251.7,417,8.8,16.8,6.8,31.65,31.54,0.69,0.44,16,129,302,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
247.7,421,8.7,16.4,6.7,31.57,31.22,0.69,0.45,16,127,273,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.4,421,9,16.9,6.8,31.31,31.65,0.69,0.43,16,130,272,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.6,418,8.8,17,6.9,31.4,31.25,0.69,0.41,16,127,282,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
253.3,422,8.9,17,6.8,31.36,31.1,0.69,0.43,16,123,289,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
250.6,417,8.8,17.1,6.4,31.35,31.4,0.69,0.41,16,115,292,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
250.9,414,8.9,16.5,6.6,31.62,31.4,0.69,0.41,16,120,235,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
248.6,408,8.3,16.7,6.8,31.47,29.56,0.69,0.42,16,116,280,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
251.3,410,8.6,16.4,6.5,31.63,28.96,0.69,0.45,16,122,292,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
251,410,8.8,16.4,6.6,31.93,28.9,0.69,0.42,16,125,299,0.043374149659864,0.248925170068027,0.416979591836735,0,0.191020408163265,0.00206802721088435,0,0.00425,0.01946,0.00042,0,0,0,0.0009
250.6,402,8.1,16.6,5.8,31.2,29.77,0.45,0.36,16,118,311,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
253.6,402,8,16.5,5.6,31.43,29.56,0.45,0.37,16,117,321,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
257,404,8.1,16.1,5.6,31.5,29.66,0.45,0.41,16,133,269,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
255,405,8.5,15.8,5.7,31.38,30.65,0.45,0.4,16,126,289,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
255.3,401,8.5,15.9,5.6,31.17,30.41,0.46,0.41,16,120,312,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
251.3,403,7.6,17.3,6.7,31.39,29.86,0.46,0.31,16,116,275,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
255.4,402,7.7,17.3,6.5,31.88,28.98,0.46,0.33,16,110,282,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
254.3,400,8.3,17.8,6.7,31.65,30.65,0.46,0.43,16,132,276,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
254.4,408,8.4,18,6.7,31.77,30.89,0.46,0.41,16,123,285,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
259.4,408,8.4,17.7,6.6,31.9,28.79,0.46,0.4,16,109,280,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
255.6,409,8.1,17.9,6.6,31.83,29.2,0.46,0.39,16,117,289,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
256.2,411,8.6,17.3,6.7,31.79,28.96,0.46,0.42,16,115,289,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
256.3,408,8.7,17.5,6.8,31.73,28.65,0.46,0.45,16,111,275,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
258.2,410,8.6,17.6,6.7,31.73,29.5,0.46,0.4,16,110,260,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
257.6,412,8.8,17.9,6.7,31.62,28.9,0.46,0.42,16,125,275,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
262.4,403,8.8,17.5,6.6,31.62,30.61,0.46,0.41,16,128,304,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
257.1,409,8.7,17.5,6.7,31.46,30.25,0.46,0.42,16,110,293,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
251.1,406,8.2,17.2,6.2,31.05,29.3,0.46,0.37,16,146,299,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
253.7,410,8.3,17.2,6.2,31.66,28.96,0.46,0.35,16,144,281,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
253.1,408,8.2,17,6.3,31.75,28.78,0.46,0.36,16,120,276,0.0431960575146115,0.223312348813799,0.334269873942636,0.214853433898763,0.178493622008204,0.0514296016947879,0.0514296016947879,0.00317,0.01961,0.00038,0,0,0,0.0012
259.9,425,8.7,18.2,5.9,31.72,30.57,0.46,0.37,16,136,300,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.8,419,8.5,18.4,6.1,31.74,30.74,0.46,0.34,16,144,312,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
262.4,416,8.5,18.2,5.8,31.78,30.22,0.46,0.36,16,137,319,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.4,420,8.6,18.2,5.9,31.85,30.41,0.46,0.37,16,131,315,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.6,423,8.7,18.4,6.2,31.91,30.74,0.46,0.42,16,134,322,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.4,406,8.5,17.4,5.5,31.79,29.11,0.46,0.4,16,132,319,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.6,408,8.5,17.1,5.9,31.53,30.58,0.46,0.41,16,145,325,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.3,408,8.8,17,6,31.5,29.89,0.46,0.4,16,154,302,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.7,405,8.6,17.4,6,31.25,29.46,0.46,0.42,16,140,293,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.1,406,8.7,17.4,6,31.74,29.39,0.42,0.43,16,135,302,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.6,423,8.5,17.3,5.9,31.87,29.95,0.42,0.4,16,143,308,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
262.1,421,8.9,18.1,6.5,31.26,28.89,0.42,0.42,16,158,328,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
259.8,413,8.5,17.9,6.3,31.3,29,0.42,0.4,16,156,333,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.1,412,8.6,18.2,6.1,31.42,29.05,0.42,0.45,16,157,318,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.8,411,8.7,18,6.2,31.27,29,0.42,0.45,16,156,321,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
260.6,414,8.4,18.4,6.5,32.77,28.9,0.42,0.39,16,146,296,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
258.8,418,7.9,18,6.4,32.57,29.21,0.42,0.4,16,139,300,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.8,421,7.3,18.1,6.3,32.19,29.34,0.42,0.43,16,132,308,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
253.7,421,7.8,18,6.3,32.13,29.54,0.42,0.4,16,137,301,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
248.7,420,7.7,17.6,5.9,31.66,29.17,0.42,0.44,16,127,293,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
250.8,423,8.2,17.5,6,31.32,30.7,0.42,0.37,16,121,269,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
251.1,421,8.1,17.7,6.1,31.3,30.5,0.42,0.39,16,119,286,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
252.7,415,7.9,19,6.8,31.45,29.38,0.42,0.42,16,139,305,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
253,412,8.1,18.5,6.8,31.4,29.32,0.42,0.42,16,146,296,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.4,418,8.1,18.5,6.7,31.5,28.65,0.42,0.43,16,137,294,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
253.9,411,8.3,18,6.7,31.74,28.56,0.42,0.41,16,140,302,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
262.1,413,8.6,17.2,6.8,31.76,27.9,0.42,0.41,16,142,299,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
259.4,411,8.5,16.7,7,31.57,28.5,0.42,0.4,16,126,286,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
260.2,411,8.6,17,6.8,31.76,28.54,0.42,0.44,16,145,310,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.8,410,8.2,17.7,6.8,31.86,28.6,0.42,0.42,16,129,278,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
260.7,410,8.5,17.8,6.9,32.04,28,0.42,0.43,16,134,283,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.9,411,8.5,18.3,6.4,31.64,28.01,0.42,0.39,16,139,296,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.4,410,8.6,18.1,6.6,31.86,28.23,0.42,0.41,16,143,289,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
251.2,404,7.9,18.4,6.6,31.75,28.03,0.42,0.42,16,156,300,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.6,413,8.2,17.9,6.8,31.87,28.6,0.42,0.43,16,154,292,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.4,419,8.6,19.1,7.3,31.37,28.09,0.42,0.42,16,166,334,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.1,410,8.5,19,7.3,31.72,28.67,0.42,0.43,16,134,312,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
250.2,410,8.2,17.3,6.6,31.15,29.1,0.42,0.4,16,158,342,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
250.6,414,8.5,17.3,7.1,31.19,29.68,0.42,0.42,16,159,332,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.7,413,8.9,17.1,6.3,31.06,28.34,0.42,0.37,16,156,318,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
253.1,415,8.5,17.4,6.6,31.24,28.68,0.42,0.36,16,161,328,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.2,416,8.7,17.8,6.5,31.26,28.09,0.42,0.39,16,145,333,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.6,415,8.5,17.5,6.6,31.48,28.12,0.42,0.4,16,163,336,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.4,412,8,17.3,6.2,31.25,29.12,0.42,0.41,16,140,323,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.1,415,8.3,17.2,6.4,31.45,28.98,0.42,0.4,16,164,328,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.9,412,8.7,17.5,6.3,31.15,28.31,0.42,0.35,16,147,343,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
256.1,414,8.6,17.5,6.4,31.19,28.36,0.42,0.36,16,164,323,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
251,411,8,17.9,6.6,31.55,28,0.42,0.39,16,150,322,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
252.3,409,8,17.6,6.6,31.12,28.02,0.42,0.38,16,162,316,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
253,410,8.3,17.4,6.6,31.22,28.06,0.42,0.4,16,166,318,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
255.3,410,8.5,16,6.2,32.22,31.15,0.42,0.33,16,134,302,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
254.8,413,8.5,16.5,6.2,32.39,30.6,0.42,0.32,16,139,305,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
258.4,411,8.5,17,5.9,32.25,29.1,0.42,0.38,16,132,332,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
257.9,411,8.2,16.8,6,32.6,29.4,0.42,0.39,16,133,321,0.042975,0.2146125,0,0.21625,0.162,0,0.3229,0.00317,0.02535,0.00038,0,0,0,0.0012
252.7,406,8.7,17.3,5.8,32.51,31.67,0.41,0.31,16,141,308,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
253.2,407,8.7,16.8,5.6,32.4,31.56,0.41,0.33,16,145,303,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
252.8,405,8.8,16.2,5.5,32.54,31.24,0.41,0.3,16,157,296,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
254,402,8.9,16.2,5.7,32.68,31.12,0.41,0.31,16,154,300,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
253.9,407,8.7,16.1,6,33.16,31.02,0.41,0.33,16,128,300,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
257.2,400,8.9,15.8,5.6,33.07,31.12,0.41,0.33,16,133,306,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
258.1,396,8.4,15.3,5.3,32.2,31.07,0.41,0.33,16,142,321,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
256.9,408,8.6,15.3,5.3,32.13,31.12,0.41,0.32,16,136,318,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
252.1,423,8.7,16.8,5.9,31.8,31.04,0.41,0.31,16,139,339,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
252.2,413,8.8,15.7,5.4,32.17,32,0.41,0.33,16,123,309,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
251.1,412,8.7,15.5,5.2,32.39,32,0.41,0.35,16,103,303,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
252.2,415,8.5,15.5,5.3,32.3,31.89,0.41,0.33,16,116,311,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
256,411,8.8,17,5.9,33.11,30.99,0.41,0.34,16,138,290,0.253333333333333,0.2132,0.413773333333333,0.0973333333333333,0.24,0.064,0.064,0.00477,0.01227,0.00048,0,0,0,0.00087
258.3,404,8.8,17,6.1,31.84,30.56,0.41,0.39,16,146,299,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
257.7,402,8.8,16.8,6.1,31.62,31.25,0.41,0.41,16,132,288,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
252.4,419,8.6,18.5,6.6,32.65,34.75,0.41,0.4,16,122,298,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
253.1,408,8.7,18.5,6.9,32.1,33.9,0.41,0.41,16,125,296,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
253.7,419,8.8,18,6.5,32.61,32.25,0.41,0.42,16,121,307,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
255.9,418,8.8,16.8,6.2,31.9,31.56,0.41,0.31,16,121,300,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
256.4,411,8.9,16.7,6.3,32.01,32.25,0.41,0.34,16,115,298,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
256.3,406,8.1,16.5,6.1,32.85,33.22,0.41,0.43,16,135,306,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
254.9,407,8.5,16.4,6.2,32.11,33.2,0.41,0.44,16,134,303,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
256,407,8.8,16.5,6.2,32.12,32.45,0.41,0.45,16,137,304,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
252.6,397,8.1,17.6,6.1,32.39,31.86,0.41,0.43,16,141,300,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
253.4,403,8.3,17.2,6.3,32.53,31.86,0.41,0.42,16,139,303,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
255.8,396,8.8,17.1,6.1,31.96,33.4,0.41,0.41,16,169,309,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
256.9,397,8.7,17.3,6.1,31.88,33.8,0.41,0.42,16,165,303,0.0766666666666667,0.250786666666667,0.240586666666667,0.048,0.24,0,0.169333333333333,0.00509,0.01256,0.00048,0,0,0,0.00087
252.7,402,7.9,15.9,5.4,32.28,31.89,0.41,0.44,16,169,320,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
252.1,399,8.1,15.8,5.2,31.79,32.5,0.41,0.41,16,157,309,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
251.4,405,8.1,15.9,5.3,32.5,32.93,0.41,0.39,16,169,325,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
252.1,405,8.8,15.9,5.1,32.64,33.27,0.41,0.38,16,145,306,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
250.1,406,8.7,15.7,5.2,32.37,32.58,0.41,0.38,16,159,303,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
250.6,407,8.7,15.8,5.2,32.44,31.86,0.41,0.37,16,157,302,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
250.7,406,8.6,15.7,5.2,32.48,31.77,0.41,0.39,16,167,304,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
251.7,405,8.6,15.9,5.2,32.28,31.74,0.41,0.39,16,189,319,0.0831366828277628,0.233821026587148,0.463179874429714,0.108694097624462,0.241987385763934,0,0.068648903762818,0.00509,0.01256,0.00048,0,0,0,0.00087
